9, 8, 10, 15, 0, 1, 5, 2, 6, 12, 14, 11, 3, 13, 4, 7
8, 9, 12, 2, 11, 7, 13, 4, 10, 1, 14, 5, 0, 6, 15, 3
1, 11, 0, 14, 4, 7, 9, 12, 10, 5, 15, 13, 8, 2, 6, 3
8, 15, 9, 1, 14, 12, 11, 6, 4, 3, 2, 7, 0, 5, 10, 13
3, 1, 9, 4, 14, 11, 0, 7, 6, 2, 12, 5, 8, 15, 10, 13
12, 3, 10, 2, 0, 13, 8, 9, 11, 5, 7, 1, 6, 14, 4, 15
2, 13, 14, 15, 5, 0, 11, 8, 6, 3, 7, 12, 10, 4, 1, 9
4, 1, 7, 9, 13, 14, 12, 8, 5, 0, 10, 2, 15, 6, 11, 3
14, 1, 11, 12, 13, 9, 10, 6, 0, 4, 3, 2, 5, 7, 8, 15
10, 4, 7, 8, 13, 2, 9, 11, 12, 14, 6, 1, 15, 3, 0, 5
4, 0, 9, 10, 6, 12, 15, 8, 2, 7, 14, 5, 3, 1, 13, 11
0, 3, 9, 4, 8, 15, 13, 12, 1, 7, 5, 14, 2, 6, 10, 11
7, 15, 4, 5, 10, 1, 6, 11, 8, 12, 13, 0, 9, 14, 2, 3
3, 5, 12, 6, 8, 0, 7, 14, 15, 11, 9, 13, 10, 2, 1, 4
5, 13, 10, 6, 7, 14, 0, 11, 3, 15, 4, 2, 8, 12, 9, 1
13, 9, 15, 5, 4, 3, 6, 0, 11, 7, 2, 12, 8, 10, 1, 14
3, 1, 13, 0, 12, 5, 14, 15, 10, 7, 6, 4, 9, 11, 2, 8
11, 10, 8, 7, 12, 5, 15, 1, 0, 13, 4, 3, 6, 14, 9, 2
7, 4, 12, 10, 3, 1, 11, 8, 15, 9, 2, 14, 6, 5, 0, 13
6, 4, 1, 14, 2, 9, 12, 3, 7, 15, 10, 13, 5, 11, 0, 8
5, 9, 6, 1, 12, 4, 8, 7, 10, 14, 3, 11, 2, 0, 15, 13
5, 2, 0, 8, 9, 14, 1, 10, 15, 12, 6, 7, 3, 13, 11, 4
13, 2, 10, 14, 9, 8, 5, 1, 3, 7, 4, 0, 15, 12, 11, 6
11, 2, 1, 3, 6, 9, 14, 7, 15, 10, 4, 8, 12, 13, 5, 0
1, 13, 5, 10, 12, 7, 14, 2, 0, 15, 11, 8, 4, 3, 6, 9
13, 12, 5, 9, 3, 15, 10, 14, 7, 2, 6, 1, 4, 11, 8, 0
10, 11, 13, 3, 15, 8, 6, 12, 9, 4, 1, 2, 14, 7, 0, 5
15, 2, 10, 11, 4, 12, 13, 3, 5, 9, 14, 8, 0, 6, 7, 1
4, 6, 8, 12, 2, 1, 11, 0, 13, 3, 15, 14, 9, 7, 10, 5
12, 2, 6, 13, 1, 4, 7, 10, 15, 14, 11, 9, 0, 3, 5, 8
9, 7, 13, 12, 2, 4, 15, 14, 3, 1, 6, 0, 11, 8, 5, 10
10, 1, 5, 8, 6, 15, 7, 9, 12, 13, 0, 3, 14, 4, 11, 2
0, 4, 13, 11, 14, 7, 12, 6, 8, 1, 15, 5, 9, 3, 10, 2
3, 4, 13, 0, 5, 14, 1, 11, 7, 6, 10, 15, 8, 9, 2, 12
13, 15, 6, 0, 3, 10, 9, 11, 4, 2, 7, 1, 14, 5, 8, 12
13, 2, 9, 1, 6, 12, 7, 8, 15, 4, 5, 14, 0, 10, 3, 11
14, 8, 12, 1, 3, 13, 6, 4, 0, 15, 2, 9, 5, 7, 10, 11
0, 11, 7, 10, 4, 5, 8, 2, 15, 12, 14, 1, 3, 9, 13, 6
12, 8, 11, 6, 4, 2, 7, 9, 15, 1, 10, 5, 14, 13, 3, 0
4, 0, 2, 7, 8, 9, 13, 15, 1, 10, 14, 12, 11, 5, 3, 6
7, 0, 1, 9, 3, 4, 14, 13, 11, 2, 8, 15, 12, 5, 6, 10
9, 15, 6, 12, 4, 0, 3, 7, 10, 1, 2, 5, 14, 13, 8, 11
15, 9, 8, 5, 3, 1, 2, 6, 7, 0, 13, 10, 12, 14, 11, 4
12, 10, 2, 5, 7, 15, 11, 9, 1, 6, 14, 0, 8, 3, 13, 4
11, 13, 5, 4, 9, 2, 15, 7, 8, 10, 6, 14, 1, 12, 0, 3
7, 2, 1, 9, 3, 4, 12, 14, 13, 15, 10, 6, 5, 0, 11, 8
12, 0, 8, 2, 10, 9, 15, 14, 13, 3, 1, 5, 4, 6, 11, 7
11, 0, 8, 5, 12, 10, 14, 1, 3, 2, 4, 9, 13, 15, 6, 7
3, 8, 4, 12, 13, 6, 1, 14, 0, 5, 2, 11, 7, 9, 10, 15
14, 4, 6, 0, 8, 3, 13, 1, 9, 2, 5, 15, 12, 7, 10, 11
0, 5, 15, 1, 12, 8, 6, 10, 13, 2, 4, 14, 7, 3, 9, 11
3, 0, 7, 11, 12, 13, 5, 1, 9, 2, 10, 6, 8, 15, 4, 14
3, 8, 0, 14, 1, 15, 4, 9, 10, 12, 13, 6, 11, 7, 2, 5
5, 13, 6, 1, 8, 9, 0, 7, 12, 2, 11, 15, 4, 10, 3, 14
13, 11, 10, 14, 9, 15, 2, 3, 0, 8, 6, 12, 5, 1, 7, 4
5, 10, 7, 11, 9, 8, 1, 15, 12, 14, 4, 3, 6, 13, 2, 0
1, 10, 13, 4, 14, 8, 2, 11, 6, 12, 7, 0, 3, 5, 9, 15
4, 8, 11, 15, 9, 13, 7, 12, 10, 5, 2, 14, 0, 1, 6, 3
4, 9, 10, 15, 12, 3, 2, 13, 0, 7, 14, 1, 8, 6, 11, 5
8, 13, 9, 4, 0, 1, 2, 3, 6, 15, 14, 11, 12, 10, 5, 7
14, 9, 11, 6, 4, 1, 15, 10, 7, 8, 13, 12, 2, 0, 3, 5
3, 0, 15, 12, 1, 9, 4, 13, 8, 5, 10, 7, 11, 2, 6, 14
14, 10, 6, 3, 13, 0, 7, 12, 11, 1, 4, 2, 8, 9, 5, 15
10, 8, 2, 13, 11, 3, 12, 1, 14, 15, 5, 7, 6, 4, 0, 9
12, 1, 2, 0, 7, 14, 3, 6, 5, 15, 13, 4, 11, 9, 10, 8
12, 5, 4, 6, 0, 9, 11, 8, 10, 13, 1, 15, 7, 2, 3, 14
6, 9, 14, 0, 1, 2, 4, 12, 11, 8, 7, 10, 3, 5, 15, 13
4, 6, 0, 13, 10, 8, 5, 9, 14, 3, 1, 7, 12, 15, 2, 11
9, 2, 5, 8, 14, 13, 11, 4, 0, 10, 3, 7, 15, 1, 12, 6
